backlink,status_code,is_doFollow,is_exist,target_url,position,anchor_text,anchor_type,externalLinks,hasManyBacklinks,ip,countryCode,country,from_spam_heavy_country,rank,pagerank,backlink_rank,page_rank,domain_rank,AlexaTrafficRank,AlexaReach,AlexaRank,AlexaRankCountry,AlexaRankCountryCode,page_number,source_file,target_domain,source_domain,anchor_length,is_spam_country,is_active,has_good_anchor,Metric,Value
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Riccardo Scarmacio (Francesco),anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,30,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Karole Rocher (Chris),anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,21,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Emmanuelle Bercot (Sue Ellen),anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,29,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Nicolas Duvauchelle (Mathieu),anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,29,False,True,True,,
https://verborragio.blogspot.com/2014/01/,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/develop/?p=7829,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,45,False,True,True,,
https://causameespecie.blogspot.com/2018/04/,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2018/04/,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2017/11/,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2017/11/,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2015/09/,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2015/09/,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2017/03/,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,7.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
